date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-01-08,26.8,30.8,23.6,77,2.9,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-45
2022-01-09,26.6,30.5,23.6,78,1.2,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-44
2022-01-10,26.6,30.2,23.1,76,0.7,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-43
2022-01-11,26.9,31.7,23.3,74,0.2,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-42
2022-01-12,26.7,30.7,23.2,76,1.3,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-41
2022-01-13,26.6,30.5,22.8,76,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-40
2022-01-14,26.5,30.1,23.5,76,0.8,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-39
2022-01-15,26.8,30.7,23.8,75,1.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-38
2022-01-16,27.1,31.9,23.6,75,0.5,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-37
2022-01-17,26.7,30.7,23.6,76,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-36
2022-01-18,26.7,30.8,22.5,71,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-35
2022-01-19,26.4,30.8,23.2,70,0.6,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-34
2022-01-20,26.2,30.4,22.0,73,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-33
2022-01-21,26.3,29.6,22.2,76,1.7,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-32
2022-01-22,26.5,30.9,23.2,77,1.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-31
2022-01-23,26.6,29.9,23.4,75,1.6,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-30
2022-01-24,26.5,30.5,23.0,70,0.1,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-29
2022-01-25,26.5,30.5,23.2,71,0.5,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-28
2022-01-26,26.0,30.7,23.4,73,4.7,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-27
2022-01-27,26.3,30.4,22.5,73,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-26
2022-01-28,26.7,31.6,22.6,68,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-25
2022-01-29,28.1,33.6,22.9,62,0.1,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-24
2022-01-30,27.7,32.3,24.5,71,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-23
2022-01-31,27.2,31.5,23.7,76,0.5,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-22
2022-02-01,27.0,30.7,24.2,77,0.2,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-21
2022-02-02,26.8,31.1,23.0,75,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-20
2022-02-03,26.3,29.2,22.9,79,0.6,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-19
2022-02-04,26.9,31.1,23.3,74,0.2,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-18
2022-02-05,26.6,30.8,23.1,75,0.4,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-17
2022-02-06,26.7,31.1,23.4,76,2.8,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-16
2022-02-07,26.5,30.7,22.8,73,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-15
2022-02-08,26.6,31.1,22.2,75,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-14
2022-02-09,27.1,31.5,23.6,73,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-13
2022-02-10,27.0,31.5,23.4,68,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-12
2022-02-11,27.8,32.6,24.5,72,0.1,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-11
2022-02-12,26.4,30.3,24.6,80,8.5,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-10
2022-02-13,26.7,30.4,23.5,77,5.4,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-9
2022-02-14,26.6,30.1,22.8,71,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-8
2022-02-15,26.3,29.3,23.9,76,1.1,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-7
2022-02-16,25.9,29.5,23.2,81,12.6,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-6
2022-02-17,25.7,29.6,22.4,84,2.9,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-5
2022-02-18,26.4,30.5,22.5,74,0.0,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-4
2022-02-19,27.0,30.8,23.6,75,0.7,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-3
2022-02-20,27.2,30.5,24.4,77,0.4,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-2
2022-02-21,27.2,30.5,23.9,79,1.2,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,-1
2022-02-22,26.4,30.3,23.2,82,2.2,Trivandrum,Dengue,8.4882267,76.947551,2022-02-22,0
