date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-01-17,21.7,26.9,18.2,68,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-45
2022-01-18,21.1,27.1,16.1,66,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-44
2022-01-19,20.9,26.8,15.9,63,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-43
2022-01-20,20.7,28.4,14.1,58,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-42
2022-01-21,22.0,30.0,14.3,50,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-41
2022-01-22,21.9,29.3,14.4,48,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-40
2022-01-23,20.8,28.4,13.7,59,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-39
2022-01-24,20.1,27.4,14.2,61,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-38
2022-01-25,20.7,27.7,14.0,58,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-37
2022-01-26,22.0,27.5,16.7,64,0.1,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-36
2022-01-27,21.6,25.7,17.2,71,0.2,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-35
2022-01-28,21.9,27.1,18.4,65,0.5,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-34
2022-01-29,21.8,29.3,16.4,68,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-33
2022-01-30,22.7,28.8,17.5,70,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-32
2022-01-31,22.8,29.0,17.2,68,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-31
2022-02-01,23.0,29.0,18.2,63,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-30
2022-02-02,22.9,29.4,17.2,61,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-29
2022-02-03,22.8,29.0,17.9,63,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-28
2022-02-04,21.9,28.7,15.5,56,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-27
2022-02-05,22.4,29.3,14.7,48,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-26
2022-02-06,22.8,28.5,17.6,62,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-25
2022-02-07,23.1,28.5,18.6,63,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-24
2022-02-08,22.3,28.3,16.7,62,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-23
2022-02-09,22.7,28.7,16.8,59,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-22
2022-02-10,22.1,28.5,16.2,58,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-21
2022-02-11,22.8,29.3,17.4,42,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-20
2022-02-12,22.6,29.3,17.1,51,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-19
2022-02-13,22.0,28.2,16.4,60,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-18
2022-02-14,22.5,28.3,16.5,55,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-17
2022-02-15,23.1,29.0,17.1,57,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-16
2022-02-16,23.5,29.3,16.7,53,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-15
2022-02-17,23.6,30.0,17.7,48,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-14
2022-02-18,23.6,30.1,16.2,46,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-13
2022-02-19,23.3,30.0,16.6,48,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-12
2022-02-20,23.2,30.4,16.1,53,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-11
2022-02-21,23.5,30.7,16.0,45,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-10
2022-02-22,24.8,32.3,18.0,46,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-9
2022-02-23,24.2,30.8,18.5,50,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-8
2022-02-24,23.0,30.3,17.1,46,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-7
2022-02-25,23.4,31.0,16.3,39,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-6
2022-02-26,22.8,30.9,15.5,48,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-5
2022-02-27,23.2,29.9,17.3,53,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-4
2022-02-28,23.0,30.2,15.6,44,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-3
2022-03-01,24.2,30.6,16.1,47,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-2
2022-03-02,24.3,31.2,18.7,27,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,-1
2022-03-03,24.4,31.5,17.9,34,0.0,Tumakuru,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-03-03,0
