date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-29,28.2,34.2,22.0,45,0.0,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-45
2022-03-30,27.9,33.0,21.9,51,0.2,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-44
2022-03-31,27.2,32.6,21.5,53,0.0,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-43
2022-04-01,27.8,34.1,22.1,50,0.0,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-42
2022-04-02,27.4,33.7,20.9,52,0.0,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-41
2022-04-03,27.4,34.4,20.2,45,0.0,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-40
2022-04-04,27.8,35.2,21.1,43,0.0,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-39
2022-04-05,27.3,34.7,20.6,46,0.0,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-38
2022-04-06,27.3,34.9,19.3,43,0.0,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-37
2022-04-07,27.7,35.5,20.0,43,0.0,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-36
2022-04-08,27.9,34.6,20.9,43,0.0,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-35
2022-04-09,27.7,34.0,21.5,48,0.0,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-34
2022-04-10,27.7,34.3,21.8,47,0.0,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-33
2022-04-11,28.1,34.7,21.4,48,0.0,Tumkur,Acute Diarrhoeal Disease,13.3400771,77.1006208,2022-05-13,-32
