date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-02,22.7,26.8,19.9,81,1.6,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-45
2022-04-03,22.2,25.5,20.0,88,80.5,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-44
2022-04-04,21.0,22.9,19.3,94,197.2,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-43
2022-04-05,21.2,24.3,19.2,90,42.8,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-42
2022-04-06,22.4,27.2,19.3,87,13.7,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-41
2022-04-07,22.7,26.8,20.1,84,11.5,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-40
2022-04-08,22.0,26.0,19.3,86,32.6,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-39
2022-04-09,21.9,26.8,18.2,80,4.5,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-38
2022-04-10,21.4,25.1,18.5,89,23.2,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-37
2022-04-11,22.9,27.7,19.9,82,0.1,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-36
2022-04-12,24.6,29.8,19.6,79,0.0,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-35
2022-04-13,23.4,26.9,21.1,90,3.7,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-34
2022-04-14,22.5,24.6,21.0,92,42.3,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-33
2022-04-15,23.7,28.8,19.6,84,38.0,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-32
2022-04-16,24.1,29.4,19.2,80,22.2,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-31
2022-04-17,23.1,27.3,19.0,81,22.4,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-30
2022-04-18,22.7,27.2,19.1,81,22.4,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-29
2022-04-19,24.4,28.3,21.0,75,1.4,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-28
2022-04-20,23.1,27.1,19.3,85,0.0,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-27
2022-04-21,23.9,29.1,18.5,81,0.0,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-26
2022-04-22,24.2,27.3,21.3,85,7.4,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-25
2022-04-23,24.1,27.9,21.5,87,3.9,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-24
2022-04-24,24.4,29.1,21.0,84,37.3,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-23
2022-04-25,24.5,29.5,20.6,81,1.7,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-22
2022-04-26,24.7,28.9,21.5,80,11.5,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-21
2022-04-27,23.5,27.2,20.6,84,19.2,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-20
2022-04-28,24.6,29.4,20.4,80,3.9,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-19
2022-04-29,25.0,29.4,21.6,78,2.9,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-18
2022-04-30,21.6,23.7,20.5,90,27.5,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-17
2022-05-01,23.5,27.8,19.9,80,0.0,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-16
2022-05-02,23.4,27.2,19.3,85,0.1,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-15
2022-05-03,23.7,29.4,20.3,82,1.2,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-14
2022-05-04,23.7,28.7,20.2,77,0.0,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-13
2022-05-05,24.7,29.9,19.8,74,0.0,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-12
2022-05-06,25.8,31.4,20.1,73,0.0,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-11
2022-05-07,26.0,31.0,21.8,79,1.7,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-10
2022-05-08,26.2,31.5,20.9,76,0.0,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-9
2022-05-09,26.8,31.5,21.3,77,0.1,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-8
2022-05-10,25.2,28.7,22.5,87,21.6,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-7
2022-05-11,25.5,29.9,22.5,86,8.0,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-6
2022-05-12,25.1,29.6,22.2,87,72.5,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-5
2022-05-13,23.7,25.7,21.9,95,98.6,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-4
2022-05-14,24.7,27.5,23.0,90,40.8,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-3
2022-05-15,24.1,26.8,22.8,94,147.6,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-2
2022-05-16,23.3,24.7,22.3,94,87.6,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,-1
2022-05-17,22.6,23.7,21.7,97,107.9,Udalguri,Acute Diarrhoeal Disease,26.77253155,92.10641749,2022-05-17,0
