date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-15,27.0,35.4,18.3,38,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-45
2022-04-16,28.6,37.1,19.7,29,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-44
2022-04-17,28.5,36.9,19.8,30,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-43
2022-04-18,29.3,38.9,19.8,32,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-42
2022-04-19,30.5,40.0,20.1,30,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-41
2022-04-20,30.9,39.2,22.4,28,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-40
2022-04-21,29.2,34.1,25.9,48,0.1,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-39
2022-04-22,28.5,36.2,20.7,38,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-38
2022-04-23,29.0,36.9,20.1,29,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-37
2022-04-24,29.9,36.9,23.2,23,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-36
2022-04-25,29.5,37.6,21.7,29,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-35
2022-04-26,31.0,38.9,21.6,25,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-34
2022-04-27,30.2,37.9,21.5,29,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-33
2022-04-28,30.1,38.0,21.8,37,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-32
2022-04-29,30.5,39.4,22.2,37,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-31
2022-04-30,30.3,38.2,22.0,41,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-30
2022-05-01,30.1,35.0,26.7,47,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-29
2022-05-02,29.2,33.2,24.6,51,0.4,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-28
2022-05-03,29.9,35.9,25.9,51,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-27
2022-05-04,29.0,34.6,24.0,59,10.2,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-26
2022-05-05,28.4,34.1,22.4,58,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-25
2022-05-06,28.7,32.9,24.3,57,0.9,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-24
2022-05-07,28.9,34.4,24.6,56,0.2,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-23
2022-05-08,28.4,33.7,23.1,57,0.0,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-22
2022-05-09,28.7,32.9,24.3,58,7.4,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-21
2022-05-10,29.4,34.7,25.6,58,0.2,Udham Singh Nagar,Acute Diarrhoeal Disease,29.0480988,79.43131332,2022-05-30,-20
