date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-02,27.4,31.4,25.4,85,15.5,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-45
2022-04-03,28.5,32.7,24.9,81,2.4,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-44
2022-04-04,28.9,32.9,25.9,81,1.3,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-43
2022-04-05,28.0,31.5,23.9,82,5.4,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-42
2022-04-06,27.5,31.6,22.9,82,7.3,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-41
2022-04-07,28.8,32.0,25.2,81,1.6,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-40
2022-04-08,28.3,31.9,25.8,85,5.7,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-39
2022-04-09,27.5,29.9,24.0,83,3.4,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-38
2022-04-10,28.1,31.1,25.1,82,1.9,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-37
2022-04-11,29.1,32.9,26.0,78,0.4,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-36
2022-04-12,29.0,32.0,26.5,82,3.1,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-35
2022-04-13,27.7,31.8,24.5,86,14.6,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-34
2022-04-14,26.7,30.5,23.8,85,11.7,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-33
2022-04-15,27.7,31.6,23.9,78,1.3,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-32
2022-04-16,27.7,31.5,25.2,84,24.0,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-31
2022-04-17,27.0,31.2,24.2,84,15.9,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-30
2022-04-18,27.2,30.8,23.3,83,4.9,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-29
2022-04-19,28.2,31.4,24.0,78,9.6,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-28
2022-04-20,28.8,32.2,25.3,80,0.0,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-27
2022-04-21,29.5,33.1,26.4,79,0.0,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-26
2022-04-22,29.7,33.2,26.5,78,0.2,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-25
2022-04-23,28.6,32.0,24.1,78,3.8,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-24
2022-04-24,28.9,32.4,26.1,79,1.8,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-23
2022-04-25,29.9,32.9,26.6,75,0.2,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-22
2022-04-26,29.2,32.3,24.7,81,14.9,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-21
2022-04-27,29.5,32.7,26.4,79,0.1,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-20
2022-04-28,29.1,32.4,26.4,82,5.9,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-19
2022-04-29,29.2,32.7,25.8,80,1.0,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-18
2022-04-30,29.3,32.5,25.5,79,4.3,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-17
2022-05-01,29.2,32.5,27.0,81,7.1,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-16
2022-05-02,29.4,32.8,26.6,76,0.6,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-15
2022-05-03,29.7,32.4,26.8,75,0.8,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-14
2022-05-04,30.0,33.5,27.4,76,1.7,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-13
2022-05-05,29.0,31.7,24.9,77,3.7,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-12
2022-05-06,28.8,32.0,27.1,79,10.8,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-11
2022-05-07,29.6,33.3,26.3,76,0.6,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-10
2022-05-08,29.9,32.7,26.8,75,0.5,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-9
2022-05-09,29.6,32.3,26.7,77,1.1,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-8
2022-05-10,28.5,30.6,25.4,81,7.4,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-7
2022-05-11,25.7,27.4,23.7,92,26.9,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-6
2022-05-12,25.1,27.0,23.5,93,23.6,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-5
2022-05-13,27.9,31.2,24.5,80,2.8,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-4
2022-05-14,28.1,30.5,25.8,81,6.0,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-3
2022-05-15,28.5,31.5,26.3,79,2.5,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-2
2022-05-16,28.1,31.5,25.5,83,32.4,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,-1
2022-05-17,26.3,29.4,24.8,93,27.0,Udupi,Dengue,13.3419169,74.7473232,2022-05-17,0
