date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-28,8.6,10.9,5.9,91,13.3,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-45
2022-03-29,9.3,11.7,7.9,89,4.1,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-44
2022-03-30,10.0,12.2,8.3,93,14.5,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-43
2022-03-31,9.9,12.2,8.5,95,47.3,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-42
2022-04-01,9.7,12.7,7.6,90,33.1,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-41
2022-04-02,10.1,15.2,4.7,84,5.8,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-40
2022-04-03,9.7,11.1,8.4,98,30.0,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-39
2022-04-04,9.8,11.4,8.0,96,14.8,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-38
2022-04-05,10.2,12.4,8.9,88,4.5,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-37
2022-04-06,10.3,15.2,6.7,86,1.5,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-36
2022-04-07,9.3,11.8,6.1,89,18.5,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-35
2022-04-08,9.0,11.1,7.2,90,10.8,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-34
2022-04-09,9.6,14.8,4.2,82,0.1,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-33
2022-04-10,9.6,14.1,5.7,87,22.4,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-32
2022-04-11,10.4,14.0,7.7,88,11.4,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-31
2022-04-12,11.0,17.0,4.4,84,1.3,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-30
2022-04-13,11.1,14.7,6.6,90,49.9,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-29
2022-04-14,11.5,14.5,9.6,87,10.9,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-28
2022-04-15,10.7,13.5,9.2,96,32.4,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-27
2022-04-16,10.4,12.6,8.7,91,30.9,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-26
2022-04-17,9.8,11.7,7.7,91,34.4,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-25
2022-04-18,10.2,15.0,5.4,83,13.9,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-24
2022-04-19,10.1,14.8,5.5,80,3.0,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-23
2022-04-20,10.9,16.9,4.9,76,0.2,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-22
2022-04-21,11.2,16.8,6.6,74,0.3,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-21
2022-04-22,11.5,16.3,6.1,80,6.4,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-20
2022-04-23,11.3,14.0,9.5,88,35.4,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-19
2022-04-24,11.4,14.3,9.9,87,27.7,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-18
2022-04-25,11.2,14.9,9.2,88,13.0,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-17
2022-04-26,11.6,14.9,9.4,82,31.2,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-16
2022-04-27,10.4,12.5,8.2,88,29.6,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-15
2022-04-28,11.3,16.1,6.0,81,0.3,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-14
2022-04-29,10.9,14.9,6.4,87,30.7,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-13
2022-04-30,11.0,13.3,7.7,83,8.2,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-12
2022-05-01,10.9,16.4,6.0,79,2.5,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-11
2022-05-02,11.5,17.3,7.0,84,15.8,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-10
2022-05-03,10.3,11.8,9.2,91,31.1,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-9
2022-05-04,10.3,13.3,6.1,82,5.9,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-8
2022-05-05,10.7,14.9,4.6,84,0.7,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-7
2022-05-06,11.7,17.2,5.6,84,1.9,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-6
2022-05-07,12.4,18.1,6.9,84,22.7,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-5
2022-05-08,12.7,17.5,9.0,86,26.5,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-4
2022-05-09,13.2,17.5,8.1,82,4.1,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-3
2022-05-10,12.7,15.7,9.6,90,14.0,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-2
2022-05-11,12.6,14.4,11.3,96,30.6,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,-1
2022-05-12,13.8,18.2,10.3,85,1.1,Upper Siang,Malaria,28.73120455,95.03773151,2022-05-12,0
