date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-22,27.1,33.9,22.5,57,0.7,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-45
2022-03-23,27.4,33.6,22.0,64,0.0,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-44
2022-03-24,27.1,33.2,21.6,64,0.0,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-43
2022-03-25,26.9,32.9,21.6,66,0.1,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-42
2022-03-26,27.0,33.0,21.8,67,0.0,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-41
2022-03-27,27.4,33.6,21.6,61,0.0,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-40
2022-03-28,27.6,34.2,21.2,59,0.0,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-39
2022-03-29,28.2,34.8,22.0,56,0.0,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-38
2022-03-30,28.2,34.6,22.1,58,0.1,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-37
2022-03-31,28.1,34.9,21.5,52,0.0,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-36
2022-04-01,27.5,33.5,21.9,58,0.0,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-35
2022-04-02,27.1,33.6,21.3,63,0.0,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-34
2022-04-03,27.0,33.4,21.3,62,0.0,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-33
2022-04-04,26.8,33.3,20.7,64,0.0,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-32
2022-04-05,26.4,32.8,20.8,63,0.0,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-31
2022-04-06,26.3,32.7,19.2,62,0.0,Vellore,Acute Diarrhoeal Disease,12.7948109,79.0006411,2022-05-06,-30
