date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-01-02,25.2,29.7,22.4,77,1.4,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-45
2022-01-03,26.1,30.7,22.3,69,0.1,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-44
2022-01-04,25.4,30.2,21.5,69,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-43
2022-01-05,25.4,31.0,20.8,67,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-42
2022-01-06,25.8,31.4,21.1,69,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-41
2022-01-07,26.4,31.8,21.8,70,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-40
2022-01-08,26.5,31.3,22.3,69,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-39
2022-01-09,26.5,31.8,22.2,66,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-38
2022-01-10,26.9,32.8,22.1,64,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-37
2022-01-11,27.1,33.4,22.5,68,0.2,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-36
2022-01-12,27.7,33.2,22.8,66,0.1,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-35
2022-01-13,27.8,33.9,22.7,67,0.7,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-34
2022-01-14,27.4,33.2,22.5,68,1.2,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-33
2022-01-15,28.5,34.6,23.8,62,0.2,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-32
2022-01-16,28.1,34.2,23.7,63,2.3,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-31
2022-01-17,27.3,32.8,23.4,64,1.5,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-30
2022-01-18,27.0,32.2,22.5,60,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-29
2022-01-19,27.2,33.3,21.9,58,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-28
2022-01-20,26.8,33.7,21.3,59,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-27
2022-01-21,27.3,34.7,21.6,59,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-26
2022-01-22,28.4,36.4,21.7,54,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-25
2022-01-23,28.4,36.3,22.1,54,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-24
2022-01-24,28.4,33.8,23.5,62,0.3,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-23
2022-01-25,28.0,33.4,24.2,62,1.2,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-22
2022-01-26,27.4,32.6,23.1,61,0.7,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-21
2022-01-27,27.8,34.7,23.1,58,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-20
2022-01-28,27.4,33.5,22.1,58,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-19
2022-01-29,27.1,31.5,23.7,63,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-18
2022-01-30,27.6,32.7,24.4,67,2.7,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-17
2022-01-31,28.0,34.1,23.0,64,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-16
2022-02-01,28.1,35.1,23.9,62,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-15
2022-02-02,27.4,34.7,21.9,62,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-14
2022-02-03,27.4,34.7,21.7,56,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-13
2022-02-04,28.7,36.8,22.6,55,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-12
2022-02-05,29.1,35.7,23.8,58,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-11
2022-02-06,28.3,34.7,24.1,58,0.4,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-10
2022-02-07,28.4,35.6,23.3,56,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-9
2022-02-08,28.2,35.1,22.7,55,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-8
2022-02-09,27.6,34.8,22.5,51,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-7
2022-02-10,28.0,35.2,22.4,51,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-6
2022-02-11,27.5,32.2,23.9,62,0.1,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-5
2022-02-12,26.6,32.1,24.3,70,6.7,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-4
2022-02-13,26.3,29.7,23.5,64,0.1,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-3
2022-02-14,26.9,33.5,22.0,64,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-2
2022-02-15,27.6,33.5,22.8,58,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,-1
2022-02-16,27.8,35.1,22.3,54,0.0,Virudhunagar,Dengue,9.5208936,77.8784564,2022-02-16,0
