date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2020-12-11,25.6,29.9,21.9,71,0.1,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-45
2020-12-12,25.3,30.2,21.3,71,0.0,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-44
2020-12-13,25.0,30.2,20.2,74,0.0,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-43
2020-12-14,25.2,30.1,21.3,71,0.0,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-42
2020-12-15,24.7,28.8,20.8,75,8.0,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-41
2020-12-16,24.6,28.3,22.7,86,16.3,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-40
2020-12-17,24.6,28.1,22.3,85,3.3,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-39
2020-12-18,24.1,27.4,22.6,90,13.9,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-38
2020-12-19,24.7,27.4,22.5,79,0.5,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-37
2020-12-20,24.8,29.5,20.7,69,0.0,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-36
2020-12-21,24.4,28.6,20.1,68,0.0,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-35
2020-12-22,22.9,23.9,22.1,82,14.8,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-34
2020-12-23,24.2,26.8,22.0,81,3.5,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-33
2020-12-24,25.1,29.4,21.3,74,0.0,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-32
2020-12-25,25.3,30.5,21.8,71,0.0,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-31
2020-12-26,24.9,30.2,21.0,66,0.0,Virudhunagar Sivakasi,Dengue,9.4477045,77.8000434,2021-01-25,-30
