date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-29,24.7,32.0,20.5,81,1.9,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-45
2022-03-30,24.3,31.7,20.1,82,1.0,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-44
2022-03-31,24.7,31.6,21.3,79,0.5,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-43
2022-04-01,23.9,30.6,19.7,81,1.4,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-42
2022-04-02,23.5,32.4,19.3,80,0.1,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-41
2022-04-03,24.2,33.4,18.1,76,0.1,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-40
2022-04-04,25.6,34.5,20.3,70,0.0,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-39
2022-04-05,25.1,34.1,20.2,71,2.6,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-38
2022-04-06,24.3,33.7,20.2,77,2.7,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-37
2022-04-07,24.5,33.8,19.2,75,0.0,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-36
2022-04-08,23.9,32.8,19.2,80,1.2,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-35
2022-04-09,24.7,33.8,20.7,78,0.7,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-34
2022-04-10,24.9,33.6,20.8,78,0.5,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-33
2022-04-11,25.5,33.2,21.6,76,0.3,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-32
2022-04-12,25.0,32.1,21.8,80,7.4,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-31
2022-04-13,23.2,29.9,20.6,91,18.0,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-30
2022-04-14,22.0,25.9,19.8,92,5.0,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-29
2022-04-15,23.4,30.6,19.0,87,3.4,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-28
2022-04-16,23.8,30.5,20.5,87,8.6,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-27
2022-04-17,22.5,27.5,19.2,89,19.3,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-26
2022-04-18,22.7,30.1,18.7,88,11.6,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-25
2022-04-19,23.7,31.4,20.0,86,1.1,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-24
2022-04-20,25.0,33.9,19.3,81,0.4,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-23
2022-04-21,25.7,34.3,21.8,78,0.2,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-22
2022-04-22,25.5,33.5,20.6,76,0.1,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-21
2022-04-23,24.5,29.9,21.6,82,1.4,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-20
2022-04-24,23.9,31.2,21.0,86,1.7,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-19
2022-04-25,24.7,33.4,20.3,80,2.2,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-18
2022-04-26,25.0,33.5,19.3,80,0.6,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-17
2022-04-27,26.5,34.7,21.1,75,0.1,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-16
2022-04-28,26.1,33.8,22.9,78,0.2,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-15
2022-04-29,26.1,35.3,22.5,80,1.0,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-14
2022-04-30,25.5,32.6,21.8,81,4.3,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-13
2022-05-01,24.3,29.6,21.6,89,9.2,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-12
2022-05-02,24.1,31.8,20.9,88,14.0,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-11
2022-05-03,25.5,33.4,21.6,81,2.3,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-10
2022-05-04,24.7,30.7,21.5,85,4.0,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-9
2022-05-05,23.7,30.4,20.6,88,19.0,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-8
2022-05-06,23.8,28.6,20.3,85,10.9,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-7
2022-05-07,23.7,31.3,19.5,86,4.7,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-6
2022-05-08,24.3,31.4,19.7,85,1.2,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-5
2022-05-09,24.7,30.3,21.9,86,0.9,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-4
2022-05-10,23.4,27.5,20.9,87,5.6,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-3
2022-05-11,22.2,24.0,21.1,90,1.2,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-2
2022-05-12,22.0,24.5,20.6,93,31.8,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,-1
2022-05-13,22.1,25.9,20.2,94,12.2,Wayanad,Acute Diarrhoeal Disease,11.715219,76.12690295,2022-05-13,0
