date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-03-17,20.7,26.8,15.1,53,0.0,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-45
2022-03-18,21.5,27.5,16.4,56,0.0,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-44
2022-03-19,20.5,26.8,15.3,60,0.0,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-43
2022-03-20,20.2,25.3,15.7,54,0.0,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-42
2022-03-21,20.4,25.5,15.7,51,0.0,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-41
2022-03-22,20.4,25.2,15.0,57,0.9,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-40
2022-03-23,20.7,26.9,14.7,57,0.3,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-39
2022-03-24,18.2,21.8,15.6,80,0.3,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-38
2022-03-25,16.3,18.7,14.6,94,3.4,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-37
2022-03-26,16.1,19.5,14.5,94,17.0,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-36
2022-03-27,17.4,21.6,14.1,84,0.2,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-35
2022-03-28,17.1,20.8,14.7,86,0.5,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-34
2022-03-29,17.5,20.9,15.0,87,1.3,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-33
2022-03-30,17.2,19.7,15.8,91,5.6,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-32
2022-03-31,17.5,20.5,15.7,92,4.9,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-31
2022-04-01,17.0,18.6,15.8,96,37.3,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-30
2022-04-02,17.9,22.2,15.1,89,0.4,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-29
2022-04-03,17.8,20.3,15.4,91,3.3,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-28
2022-04-04,17.0,19.0,15.6,95,95.1,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-27
2022-04-05,18.2,21.8,15.9,90,2.8,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-26
2022-04-06,18.1,21.3,15.8,90,1.2,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-25
2022-04-07,18.9,23.0,15.7,83,0.3,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-24
2022-04-08,18.7,22.3,15.9,85,3.3,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-23
2022-04-09,17.8,20.3,15.7,91,8.7,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-22
2022-04-10,17.5,20.0,15.4,93,2.6,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-21
2022-04-11,17.4,21.5,14.5,88,6.9,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-20
2022-04-12,18.4,21.4,15.9,92,1.7,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-19
2022-04-13,18.0,20.6,16.6,95,6.6,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-18
2022-04-14,18.1,20.2,16.6,98,15.2,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-17
2022-04-15,18.1,21.0,15.5,96,6.2,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-16
2022-04-16,17.1,19.0,15.8,98,5.8,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-15
2022-04-17,18.2,21.5,15.7,93,4.6,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-14
2022-04-18,18.5,22.0,16.3,88,2.1,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-13
2022-04-19,18.3,21.8,15.3,88,6.1,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-12
2022-04-20,17.0,20.0,14.8,88,1.2,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-11
2022-04-21,17.8,21.7,13.4,78,1.4,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-10
2022-04-22,17.5,19.6,15.3,92,3.6,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-9
2022-04-23,18.4,21.4,16.5,94,0.6,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-8
2022-04-24,19.1,21.4,17.0,93,4.1,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-7
2022-04-25,19.8,23.3,17.5,89,0.8,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-6
2022-04-26,19.9,23.0,17.5,89,0.0,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-5
2022-04-27,20.0,23.0,17.6,85,0.0,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-4
2022-04-28,20.4,24.7,16.7,83,3.7,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-3
2022-04-29,19.9,23.7,16.8,83,4.2,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-2
2022-04-30,18.8,22.9,15.6,87,3.1,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,-1
2022-05-01,18.2,21.9,15.6,81,9.2,West Jaintia Hills,Acute Diarrhoeal Disease,25.4425965,92.29882747,2022-05-01,0
