date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-12,10.5,18.4,2.4,80,5.5,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-45
2022-04-13,11.5,15.9,6.6,87,19.3,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-44
2022-04-14,12.5,16.9,6.7,83,8.2,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-43
2022-04-15,12.7,18.6,7.0,68,6.9,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-42
2022-04-16,11.8,18.2,6.0,64,6.9,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-41
2022-04-17,11.1,17.9,5.3,65,0.4,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-40
2022-04-18,9.5,16.5,3.4,75,6.5,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-39
2022-04-19,9.6,15.6,4.7,83,16.9,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-38
2022-04-20,9.6,15.2,4.5,68,0.2,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-37
2022-04-21,9.4,15.6,2.4,79,12.4,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-36
2022-04-22,10.3,13.5,6.2,92,22.8,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-35
2022-04-23,10.7,16.0,4.0,87,11.1,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-34
2022-04-24,11.9,17.5,6.8,82,7.8,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-33
2022-04-25,10.7,16.8,3.4,83,5.2,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-32
2022-04-26,10.1,15.8,4.9,89,11.1,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-31
2022-04-27,9.9,14.9,4.2,85,13.1,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-30
2022-04-28,11.0,17.1,5.1,78,2.1,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-29
2022-04-29,10.3,14.9,5.4,85,32.6,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-28
2022-04-30,8.9,11.9,6.7,91,13.0,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-27
2022-05-01,9.6,13.8,5.7,82,0.7,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-26
2022-05-02,9.4,13.8,4.8,85,12.2,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-25
2022-05-03,10.3,14.3,6.7,89,25.0,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-24
2022-05-04,8.9,14.8,4.8,88,2.9,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-23
2022-05-05,9.6,16.5,2.1,81,1.2,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-22
2022-05-06,9.3,16.6,2.7,89,19.9,West Kameng,Acute Diarrhoeal Disease,27.4,92.35,2022-05-27,-21
