date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2021-01-26,8.1,15.1,1.3,70,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-45
2021-01-27,8.9,16.2,2.1,73,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-44
2021-01-28,10.1,17.7,3.5,65,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-43
2021-01-29,9.9,17.4,3.1,60,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-42
2021-01-30,8.6,13.4,3.5,69,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-41
2021-01-31,7.8,14.5,0.7,69,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-40
2021-02-01,9.0,15.6,4.0,78,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-39
2021-02-02,10.0,16.7,5.5,82,0.4,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-38
2021-02-03,10.7,17.5,5.6,72,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-37
2021-02-04,11.9,18.1,7.6,75,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-36
2021-02-05,12.4,18.4,8.7,69,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-35
2021-02-06,11.2,16.2,7.8,74,0.7,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-34
2021-02-07,9.8,14.4,5.8,68,0.5,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-33
2021-02-08,11.8,18.8,6.8,60,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-32
2021-02-09,11.7,19.1,5.6,50,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-31
2021-02-10,11.4,18.2,6.8,52,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-30
2021-02-11,10.8,17.7,3.8,62,0.0,West Khasi Hills,Acute Diarrhoeal Disease,25.58173695,91.28910306,2021-03-12,-29
