date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-04-22,31.3,37.9,25.2,57,0.1,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-45
2022-04-23,33.5,40.9,25.6,37,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-44
2022-04-24,33.6,41.9,25.0,30,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-43
2022-04-25,33.7,41.8,24.5,28,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-42
2022-04-26,33.8,42.7,24.3,26,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-41
2022-04-27,33.7,42.2,25.7,32,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-40
2022-04-28,34.1,43.0,24.3,38,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-39
2022-04-29,33.4,42.6,24.5,55,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-38
2022-04-30,32.4,40.7,26.0,54,0.7,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-37
2022-05-01,30.0,39.7,26.7,72,7.4,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-36
2022-05-02,29.6,37.9,24.0,67,1.7,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-35
2022-05-03,28.6,35.3,25.0,76,2.2,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-34
2022-05-04,29.0,35.5,23.5,73,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-33
2022-05-05,28.6,34.4,25.4,73,3.8,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-32
2022-05-06,29.6,36.1,23.3,64,0.6,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-31
2022-05-07,30.9,38.1,24.6,58,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-30
2022-05-08,30.9,38.2,24.7,60,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-29
2022-05-09,29.0,35.5,24.2,71,0.1,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-28
2022-05-10,28.9,33.6,26.2,74,7.5,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-27
2022-05-11,28.6,35.5,25.0,79,19.6,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-26
2022-05-12,30.2,36.4,25.8,69,1.7,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-25
2022-05-13,32.5,39.8,26.9,58,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-24
2022-05-14,32.6,40.4,27.4,59,1.2,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-23
2022-05-15,32.4,41.0,27.1,61,2.1,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-22
2022-05-16,33.1,40.5,27.2,58,0.3,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-21
2022-05-17,31.8,40.1,27.7,65,2.5,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-20
2022-05-18,32.9,39.6,28.1,61,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-19
2022-05-19,31.3,37.3,29.0,67,12.8,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-18
2022-05-20,32.5,38.7,27.2,62,0.1,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-17
2022-05-21,32.7,39.5,28.2,58,1.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-16
2022-05-22,30.5,36.8,24.9,61,4.9,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-15
2022-05-23,29.2,35.8,24.6,73,0.4,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-14
2022-05-24,29.5,34.7,25.6,72,1.4,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-13
2022-05-25,29.1,34.0,23.9,68,1.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-12
2022-05-26,30.1,36.4,24.9,64,0.3,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-11
2022-05-27,30.2,36.8,24.6,62,0.4,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-10
2022-05-28,30.2,35.6,24.7,62,0.2,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-9
2022-05-29,30.7,35.5,25.0,64,1.3,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-8
2022-05-30,32.1,38.7,25.9,61,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-7
2022-05-31,31.9,38.6,26.0,66,0.5,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-6
2022-06-01,32.1,38.5,27.1,66,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-5
2022-06-02,32.7,38.9,27.5,63,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-4
2022-06-03,33.2,40.5,27.4,60,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-3
2022-06-04,31.8,40.7,27.4,66,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-2
2022-06-05,32.0,41.2,25.7,64,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,-1
2022-06-06,32.0,40.5,26.4,65,0.0,West Singhbhum,Acute Diarrhoeal Disease,22.7859232,86.1716093,2022-06-06,0
