date,tmean_c,tmax_c,tmin_c,rh_mean,prcp_mm,district,disease,lat,lon,outbreak_date,t_rel
2022-01-30,27.7,32.3,24.5,71,0.0,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-45
2022-01-31,27.2,31.5,23.7,76,0.5,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-44
2022-02-01,27.0,30.7,24.2,77,0.2,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-43
2022-02-02,26.8,31.1,23.0,75,0.0,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-42
2022-02-03,26.3,29.2,22.9,79,0.6,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-41
2022-02-04,26.9,31.1,23.3,74,0.2,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-40
2022-02-05,26.6,30.8,23.1,75,0.4,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-39
2022-02-06,26.7,31.1,23.4,76,2.8,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-38
2022-02-07,26.5,30.7,22.8,73,0.0,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-37
2022-02-08,26.6,31.1,22.2,75,0.0,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-36
2022-02-09,27.1,31.5,23.6,73,0.0,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-35
2022-02-10,27.0,31.5,23.4,68,0.0,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-34
2022-02-11,27.8,32.6,24.5,72,0.1,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-33
2022-02-12,26.4,30.3,24.6,80,8.5,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-32
2022-02-13,26.7,30.4,23.5,77,5.4,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-31
2022-02-14,26.6,30.1,22.8,71,0.0,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-30
2022-02-15,26.3,29.3,23.9,76,1.1,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-29
2022-02-16,25.9,29.5,23.2,81,12.6,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-28
2022-02-17,25.7,29.6,22.4,84,2.9,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-27
2022-02-18,26.4,30.5,22.5,74,0.0,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-26
2022-02-19,27.0,30.8,23.6,75,0.7,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-25
2022-02-20,27.2,30.5,24.4,77,0.4,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-24
2022-02-21,27.2,30.5,23.9,79,1.2,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-23
2022-02-22,26.4,30.3,23.2,82,2.2,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-22
2022-02-23,26.8,32.2,22.7,74,0.0,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-21
2022-02-24,27.2,31.8,24.3,70,1.8,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-20
2022-02-25,27.5,31.2,24.8,69,0.0,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-19
2022-02-26,27.7,32.3,24.0,68,0.2,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-18
2022-02-27,27.7,32.4,24.2,71,0.6,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-17
2022-02-28,27.4,32.4,23.4,71,0.0,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-16
2022-03-01,27.3,32.9,22.8,72,0.1,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-15
2022-03-02,27.0,33.6,21.5,63,0.0,thiruvananthapuram,Dengue,8.4882267,76.947551,2022-03-16,-14
