date,precipitation_mm,precipitation_3day,precipitation_7day,dry_days_count
2009-01-01,0.0,,,1
2009-01-02,0.0,,,2
2009-01-03,0.0,0.0,,3
2009-01-04,0.0,0.0,,4
2009-01-05,0.0,0.0,,5
2009-01-06,0.0,0.0,,6
2009-01-07,0.0,0.0,0.0,7
2009-01-08,0.0,0.0,0.0,8
2009-01-09,0.0,0.0,0.0,9
2009-01-10,0.0,0.0,0.0,10
2009-01-11,0.0,0.0,0.0,11
2009-01-12,0.0,0.0,0.0,12
2009-01-13,0.0,0.0,0.0,13
2009-01-14,0.0,0.0,0.0,14
2009-01-15,0.0,0.0,0.0,15
2009-01-16,0.0,0.0,0.0,16
2009-01-17,0.0,0.0,0.0,17
2009-01-18,0.0,0.0,0.0,18
2009-01-19,0.0,0.0,0.0,19
2009-01-20,0.0,0.0,0.0,20
2009-01-21,0.0,0.0,0.0,21
2009-01-22,0.0,0.0,0.0,22
2009-01-23,0.0,0.0,0.0,23
2009-01-24,0.0,0.0,0.0,24
2009-01-25,0.0,0.0,0.0,25
2009-01-26,2.978916601404248,2.978916601404248,2.978916601404248,0
2009-01-27,0.0,2.978916601404248,2.978916601404248,1
2009-01-28,0.0,2.978916601404248,2.978916601404248,2
2009-01-29,0.0,0.0,2.978916601404248,3
2009-01-30,0.0,0.0,2.978916601404248,4
2009-01-31,0.0,0.0,2.978916601404248,5
2009-02-01,6.040462879824054,6.040462879824054,9.019379481228302,0
2009-02-02,0.0,6.040462879824054,6.040462879824054,1
2009-02-03,0.0,6.040462879824054,6.040462879824054,2
2009-02-04,0.0,0.0,6.040462879824054,3
2009-02-05,0.0,0.0,6.040462879824054,4
2009-02-06,0.0,0.0,6.040462879824054,5
2009-02-07,0.0,0.0,6.040462879824054,6
2009-02-08,0.0,0.0,0.0,7
2009-02-09,0.0,0.0,0.0,8
2009-02-10,0.0,0.0,0.0,9
2009-02-11,0.0,0.0,0.0,10
2009-02-12,0.0,0.0,0.0,11
2009-02-13,2.9023970974140947,2.9023970974140947,2.9023970974140947,0
2009-02-14,0.0,2.9023970974140947,2.9023970974140947,1
2009-02-15,0.0,2.9023970974140947,2.9023970974140947,2
2009-02-16,0.0,0.0,2.9023970974140947,3
2009-02-17,0.0,0.0,2.9023970974140947,4
2009-02-18,0.0,0.0,2.9023970974140947,5
2009-02-19,0.0,0.0,2.9023970974140947,6
2009-02-20,0.0,0.0,0.0,7
2009-02-21,0.0,0.0,0.0,8
2009-02-22,0.0,0.0,0.0,9
2009-02-23,0.0,0.0,0.0,10
2009-02-24,0.0,0.0,0.0,11
2009-02-25,0.0,0.0,0.0,12
2009-02-26,0.0,0.0,0.0,13
2009-02-27,0.0,0.0,0.0,14
2009-02-28,0.0,0.0,0.0,15
2009-03-01,0.0,0.0,0.0,16
2009-03-02,0.0,0.0,0.0,17
2009-03-03,0.0,0.0,0.0,18
2009-03-04,0.0,0.0,0.0,19
2009-03-05,0.0,0.0,0.0,20
2009-03-06,0.0,0.0,0.0,21
2009-03-07,0.0,0.0,0.0,22
2009-03-08,0.0,0.0,0.0,23
2009-03-09,0.0,0.0,0.0,24
2009-03-10,0.0,0.0,0.0,25
2009-03-11,0.0,0.0,0.0,26
2009-03-12,0.0,0.0,0.0,27
2009-03-13,0.0,0.0,0.0,28
2009-03-14,0.0,0.0,0.0,29
2009-03-15,0.0,0.0,0.0,30
2009-03-16,0.0,0.0,0.0,31
2009-03-17,0.0,0.0,0.0,32
2009-03-18,0.0,0.0,0.0,33
2009-03-19,0.0,0.0,0.0,34
2009-03-20,0.0,0.0,0.0,35
2009-03-21,0.0,0.0,0.0,36
2009-03-22,0.0,0.0,0.0,37
2009-03-23,0.0,0.0,0.0,38
2009-03-24,0.0,0.0,0.0,39
2009-03-25,0.0,0.0,0.0,40
2009-03-26,0.0,0.0,0.0,41
2009-03-27,0.0,0.0,0.0,42
2009-03-28,0.0,0.0,0.0,43
2009-03-29,0.0,0.0,0.0,44
2009-03-30,0.0,0.0,0.0,45
2009-03-31,0.0,0.0,0.0,46
2009-04-01,4.65577388644099,4.65577388644099,4.65577388644099,0
2009-04-02,0.0,4.65577388644099,4.65577388644099,1
2009-04-03,0.0,4.65577388644099,4.65577388644099,2
2009-04-04,0.0,0.0,4.65577388644099,3
2009-04-05,0.0,0.0,4.65577388644099,4
2009-04-06,0.0,0.0,4.65577388644099,5
2009-04-07,0.0,0.0,4.65577388644099,6
2009-04-08,0.0,0.0,0.0,7
2009-04-09,15.890380880111973,15.890380880111973,15.890380880111973,0
2009-04-10,0.0,15.890380880111973,15.890380880111973,1
2009-04-11,0.0,15.890380880111973,15.890380880111973,2
2009-04-12,0.0,0.0,15.890380880111973,3
2009-04-13,0.0,0.0,15.890380880111973,4
2009-04-14,0.0,0.0,15.890380880111973,5
2009-04-15,0.20447322387059474,0.20447322387059474,16.094854103982566,0
2009-04-16,0.0,0.20447322387059474,0.20447322387059474,1
2009-04-17,0.0,0.20447322387059474,0.20447322387059474,2
2009-04-18,0.0,0.0,0.20447322387059474,3
2009-04-19,0.0,0.0,0.20447322387059474,4
2009-04-20,0.0,0.0,0.20447322387059474,5
2009-04-21,0.0,0.0,0.20447322387059474,6
2009-04-22,0.0,0.0,0.0,7
2009-04-23,0.0,0.0,0.0,8
2009-04-24,0.0,0.0,0.0,9
2009-04-25,0.0,0.0,0.0,10
2009-04-26,0.0,0.0,0.0,11
2009-04-27,0.0,0.0,0.0,12
2009-04-28,0.0,0.0,0.0,13
2009-04-29,0.0,0.0,0.0,14
2009-04-30,0.0,0.0,0.0,15
2009-05-01,0.0,0.0,0.0,16
2009-05-02,0.0,0.0,0.0,17
2009-05-03,0.0,0.0,0.0,18
2009-05-04,0.0,0.0,0.0,19
2009-05-05,0.0,0.0,0.0,20
2009-05-06,0.0,0.0,0.0,21
2009-05-07,0.0,0.0,0.0,22
2009-05-08,0.0,0.0,0.0,23
2009-05-09,0.0,0.0,0.0,24
2009-05-10,0.0,0.0,0.0,25
2009-05-11,0.0,0.0,0.0,26
2009-05-12,0.0,0.0,0.0,27
2009-05-13,0.0,0.0,0.0,28
2009-05-14,0.0,0.0,0.0,29
2009-05-15,0.0,0.0,0.0,30
2009-05-16,0.0,0.0,0.0,31
2009-05-17,0.0,0.0,0.0,32
2009-05-18,0.0,0.0,0.0,33
2009-05-19,0.0,0.0,0.0,34
2009-05-20,0.0,0.0,0.0,35
2009-05-21,0.0,0.0,0.0,36
2009-05-22,0.0,0.0,0.0,37
2009-05-23,0.0,0.0,0.0,38
2009-05-24,0.0,0.0,0.0,39
2009-05-25,0.0,0.0,0.0,40
2009-05-26,0.0,0.0,0.0,41
2009-05-27,0.0,0.0,0.0,42
2009-05-28,0.0,0.0,0.0,43
2009-05-29,0.0,0.0,0.0,44
2009-05-30,0.0,0.0,0.0,45
2009-05-31,0.0,0.0,0.0,46
2009-06-01,0.0,0.0,0.0,47
2009-06-02,0.0,0.0,0.0,48
2009-06-03,0.0,0.0,0.0,49
2009-06-04,0.0,0.0,0.0,50
2009-06-05,0.0,0.0,0.0,51
2009-06-06,0.0,0.0,0.0,52
2009-06-07,0.0,0.0,0.0,53
2009-06-08,0.0,0.0,0.0,54
2009-06-09,0.0,0.0,0.0,55
2009-06-10,0.0,0.0,0.0,56
2009-06-11,18.846670101015334,18.846670101015334,18.846670101015334,0
2009-06-12,12.800069906982971,31.646740007998304,31.646740007998304,0
2009-06-13,28.09498139117402,59.74172139917233,59.74172139917233,0
2009-06-14,0.0,40.89505129815699,59.74172139917233,1
2009-06-15,0.0,28.094981391174024,59.74172139917233,2
2009-06-16,0.0,0.0,59.74172139917233,3
2009-06-17,15.041723144293659,15.041723144293659,74.78344454346599,0
2009-06-18,0.0,15.041723144293659,55.936774442450655,1
2009-06-19,4.148337189505635,19.190060333799295,47.28504172497332,0
2009-06-20,11.139871684009359,15.288208873514993,30.329932017808652,0
2009-06-21,0.0,15.288208873514993,30.329932017808652,1
2009-06-22,2.832084023878951,13.971955707888307,33.1620160416876,0
2009-06-23,0.0,2.832084023878951,33.1620160416876,1
2009-06-24,4.6484401194697975,7.480524143348749,22.76873301686374,0
2009-06-25,8.80677319208156,13.455213311551356,31.5755062089453,0
2009-06-26,20.368082914372454,33.82329622592381,47.795251933812125,0
2009-06-27,0.0,29.174856106454012,36.65538024980276,1
2009-06-28,0.0,20.36808291437245,36.65538024980276,2
2009-06-29,0.0,0.0,33.82329622592381,3
2009-06-30,0.0,0.0,33.82329622592381,4
2009-07-01,3.7084221114221676,3.708422111422164,32.88327821787618,0
2009-07-02,0.0,3.708422111422164,24.076505025794624,1
2009-07-03,6.678433493261516,10.38685560468368,10.386855604683683,0
2009-07-04,4.685708483989817,11.364141977251329,15.0725640886735,0
2009-07-05,0.0,11.364141977251329,15.0725640886735,1
2009-07-06,0.0,4.685708483989814,15.0725640886735,2
2009-07-07,0.0,0.0,15.0725640886735,3
2009-07-08,0.0,0.0,11.364141977251332,4
2009-07-09,0.0,0.0,11.364141977251332,5
2009-07-10,0.0,0.0,4.685708483989817,6
2009-07-11,5.732472891924573,5.73247289192457,5.732472891924573,0
2009-07-12,0.0,5.73247289192457,5.732472891924573,1
2009-07-13,49.07578662424803,54.808259516172605,54.808259516172605,0
2009-07-14,0.0,49.07578662424803,54.808259516172605,1
2009-07-15,4.53158402469882,53.607370648946855,59.33984354087143,0
2009-07-16,0.0,4.53158402469882,59.33984354087143,1
2009-07-17,0.0,4.53158402469882,59.33984354087143,2
2009-07-18,0.0,0.0,53.607370648946855,3
2009-07-19,0.0,0.0,53.607370648946855,4
2009-07-20,0.0,0.0,4.53158402469882,5
2009-07-21,27.181255579045775,27.181255579045775,31.712839603744595,0
2009-07-22,0.0,27.181255579045775,27.181255579045775,1
2009-07-23,0.0,27.181255579045775,27.181255579045775,2
2009-07-24,0.0,0.0,27.181255579045775,3
2009-07-25,0.0,0.0,27.181255579045775,4
2009-07-26,0.0,0.0,27.181255579045775,5
2009-07-27,0.0,0.0,27.181255579045775,6
2009-07-28,0.0,0.0,0.0,7
2009-07-29,19.287357818275353,19.287357818275353,19.287357818275353,0
2009-07-30,18.10123749189981,37.38859531017516,37.38859531017516,0
2009-07-31,0.0,37.38859531017516,37.38859531017516,1
2009-08-01,0.0,18.10123749189981,37.38859531017516,2
2009-08-02,7.119500265806256,7.119500265806256,44.508095575981415,0
2009-08-03,0.0,7.119500265806256,44.508095575981415,1
2009-08-04,0.0,7.119500265806256,44.508095575981415,2
2009-08-05,0.0,0.0,25.220737757706065,3
2009-08-06,0.0,0.0,7.119500265806256,4
2009-08-07,0.0,0.0,7.119500265806256,5
2009-08-08,0.0,0.0,7.119500265806256,6
2009-08-09,0.0,0.0,0.0,7
2009-08-10,30.435352440398677,30.435352440398677,30.435352440398677,0
