sno,week_of_outbreak,state_ut,district,Disease,Cases,Deaths,day,mon,year,Latitude,Longitude,preci,LAI,Temp
4207,33rd week,Delhi,New Delhi,Dengue,119,1.0,1,7,2015,28.6138954,77.2090057,0.5967921772,5.0,308.545
4244,34th week,Delhi,New Delhi,Dengue,477,2.0,1,1,2015,28.6138954,77.2090057,0.0003135274763,4.0,289.75333340000003
4274,35th week,Delhi,New Delhi,Dengue,778,2.0,1,1,2015,28.6138954,77.2090057,0.0003135274763,4.0,289.75333340000003
4302,36th week,Delhi,New Delhi,Dengue,1160,2.0,1,7,2015,28.6138954,77.2090057,0.5967921772,5.0,308.545
4335,37th week,Delhi,New Delhi,Dengue,1872,2.0,1,7,2015,28.6138954,77.2090057,0.5967921772,5.0,308.545
4361,38th week,Delhi,New Delhi,Dengue,3194,17.0,1,7,2015,28.6138954,77.2090057,0.5967921772,5.0,308.545
4397,39th week,Delhi,New Delhi,Dengue,5982,17.0,1,7,2015,28.6138954,77.2090057,0.5967921772,5.0,308.545
4421,40th week,Delhi,New Delhi,Dengue,7606,25.0,1,7,2015,28.6138954,77.2090057,0.5967921772,5.0,308.545
4447,41st week,Delhi,New Delhi,Dengue,10683,,1,7,2015,28.6138954,77.2090057,0.5967921772,5.0,308.545
4469,42nd week,Delhi,New Delhi,Dengue,12020,32.0,1,7,2015,28.6138954,77.2090057,0.5967921772,5.0,308.545
4481,43rd week,Delhi,New Delhi,Dengue,14246,32.0,1,7,2015,28.6138954,77.2090057,0.5967921772,5.0,308.545
4509,45th week,Delhi,New Delhi,Dengue,15254,38.0,1,7,2015,28.6138954,77.2090057,0.5967921772,5.0,308.545
5951,38th week,Delhi,New Delhi,Dengue,1345,2.0,11,7,2013,28.6138954,77.2090057,0.5165098757,,308.80666659999997
5979,39th week,Delhi,New Delhi,Dengue,2115,3.0,11,7,2013,28.6138954,77.2090057,0.5165098757,,308.80666659999997
6028,41st week,Delhi,New Delhi,Dengue,3519,5.0,11,7,2013,28.6138954,77.2090057,0.5165098757,,308.80666659999997
